TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank_x,team_x,conference_x,record_x,adj_em_x,adj_o_x,adj_o_rank_x,adj_d_x,adj_d_rank_x,adj_tempo_x,adj_tempo_rank_x,luck_x,luck_rank_x,sos_adj_em_x,sos_adj_em_rank_x,sos_adj_o_x,sos_adj_o_rank_x,sos_adj_d_x,sos_adj_d_rank_x,nc_sos_adj_em_x,nc_sos_adj_em_rank_x,ncaa_seed_x,rank_y,team_y,conference_y,record_y,adj_em_y,adj_o_y,adj_o_rank_y,adj_d_y,adj_d_rank_y,adj_tempo_y,adj_tempo_rank_y,luck_y,luck_rank_y,sos_adj_em_y,sos_adj_em_rank_y,sos_adj_o_y,sos_adj_o_rank_y,sos_adj_d_y,sos_adj_d_rank_y,nc_sos_adj_em_y,nc_sos_adj_em_rank_y,ncaa_seed_y
Colorado,2016,1160,1985,2020,Y08,57,Colorado,P12,22-12,12.91,108.8,100,95.9,31,69.0,120,0.015,136,7.51,54,109.5,37,102.0,74,-2.15,227,8,55.0,Colorado,P12,22-11,0.7788,106.6,115.0,95.5,26.0,69.8,124.0,0.026000000000000002,106.0,0.6654,50.0,108.0,30.0,101.8,81.0,0.4454,247.0,8.0
Connecticut,2016,1163,1985,2020,Y09,26,Connecticut,Amer,25-11,18.71,111.9,59,93.2,12,65.9,277,-0.036000000000000004,270,6.17,71,107.6,72,101.4,56,-0.91,187,9,25.0,Connecticut,Amer,24-10,0.8677,110.4,62.0,93.7,13.0,66.3,298.0,-0.04,276.0,0.6068,77.0,105.5,86.0,101.6,76.0,0.4586,232.0,9.0
Dayton,2016,1173,1985,2020,X07,59,Dayton,A10,25-8,12.63,106.6,146,94.0,15,67.8,183,0.08199999999999999,28,3.89,86,107.3,75,103.4,109,2.58,91,7,54.0,Dayton,A10,25-7,0.7806,104.7,160.0,93.8,14.0,68.8,175.0,0.077,32.0,0.5793,92.0,105.9,77.0,102.9,120.0,0.5596,110.0,7.0
Duke,2016,1181,1985,2020,Z04,17,Duke,ACC,25-11,21.87,121.9,4,100.0,86,67.7,194,-0.026000000000000002,248,11.23,10,112.0,3,100.7,35,3.52,69,4,22.0,Duke,ACC,23-10,0.8752,119.3,6.0,100.7,110.0,68.5,196.0,-0.039,272.0,0.7256,13.0,109.8,3.0,100.9,46.0,0.5752,98.0,4.0
F Dickinson,2016,1192,1985,2020,W16a,280,Fairleigh Dickinson,NEC,18-15,-10.63,104.4,177,115.0,334,71.5,43,0.09699999999999999,16,-9.44,338,98.7,345,108.1,299,-0.17,169,16,263.0,Fairleigh Dickinson,NEC,18-14,0.2904,105.5,141.0,114.1,333.0,72.0,47.0,0.092,20.0,0.3147,337.0,98.9,344.0,105.8,260.0,0.5596,109.0,16.0
FL Gulf Coast,2016,1195,2008,2020,W16b,162,Florida Gulf Coast,ASun,21-14,-0.08,103.6,189,103.7,148,67.0,240,-0.038,274,-5.83,285,104.1,191,110.0,349,-1.87,219,16,174.0,Florida Gulf Coast,ASun,20-13,0.4686,102.7,182.0,103.8,173.0,67.2,259.0,-0.034,265.0,0.3653,301.0,103.2,197.0,108.3,350.0,0.4824,199.0,16.0
Fresno St,2016,1201,1985,2020,X14,108,Fresno St.,MWC,25-10,6.63,107.4,127,100.8,99,69.0,121,0.085,23,1.65,121,105.3,135,103.7,114,-2.89,244,14,105.0,Fresno St.,MWC,25-9,0.6595,106.2,124.0,100.3,100.0,69.7,129.0,0.08800000000000001,23.0,0.5158,141.0,103.6,176.0,103.0,126.0,0.4583,233.0,14.0
Gonzaga,2016,1211,1985,2020,X11,21,Gonzaga,WCC,28-8,20.82,116.3,22,95.5,27,67.3,218,-0.038,273,3.51,90,107.3,77,103.8,118,6.12,25,11,28.0,Gonzaga,WCC,26-7,0.8609,114.6,24.0,97.8,55.0,68.0,223.0,-0.025,243.0,0.5502,110.0,105.5,85.0,103.7,153.0,0.6297,40.0,11.0
Hampton,2016,1214,1996,2020,X16,248,Hampton,MEAC,21-11,-7.4,99.8,266,107.2,216,71.2,50,0.157,2,-9.75,341,98.9,342,108.7,325,1.91,112,16,222.0,Hampton,MEAC,21-10,0.3639,99.9,245.0,104.8,191.0,72.2,43.0,0.147,2.0,0.3018,342.0,99.1,340.0,106.6,309.0,0.5837,86.0,16.0
Hawaii,2016,1218,1985,2020,Y13,60,Hawaii,BW,28-6,12.16,108.2,112,96.1,35,70.6,58,0.013000000000000001,142,-2.32,204,102.5,258,104.9,149,-8.92,341,13,61.0,Hawaii,BW,27-5,0.7635,107.0,105.0,96.6,41.0,71.2,67.0,0.009000000000000001,152.0,0.4064,256.0,100.8,313.0,104.2,172.0,0.2975,342.0,13.0
Holy Cross,2016,1221,1985,2020,Z16a,285,Holy Cross,Pat,15-20,-11.39,97.1,307,108.5,241,63.6,339,0.065,39,-6.09,290,101.9,288,108.0,294,-6.27,313,16,268.0,Holy Cross,Pat,14-19,0.2702,97.0,297.0,105.8,217.0,64.4,338.0,0.048,65.0,0.3718,295.0,101.5,287.0,106.3,286.0,0.4098,287.0,16.0
Indiana,2016,1231,1985,2020,W05,11,Indiana,B10,27-8,23.05,121.7,6,98.7,59,68.2,159,0.0,173,6.4,65,108.8,51,102.4,87,-3.12,258,5,14.0,Indiana,B10,25-7,0.8959,119.0,7.0,98.7,66.0,68.8,179.0,-0.003,183.0,0.6137,73.0,106.5,64.0,102.3,102.0,0.4152,278.0,5.0
Iona,2016,1233,1985,2020,X13,104,Iona,MAAC,22-11,7.13,110.5,84,103.4,145,71.9,33,-0.005,190,-1.78,194,103.7,207,105.5,174,5.71,29,13,73.0,Iona,MAAC,22-10,0.731,110.4,60.0,101.2,120.0,72.2,44.0,-0.002,180.0,0.4792,178.0,103.1,207.0,103.8,155.0,0.6384,36.0,13.0
Iowa,2016,1234,1985,2020,Y07,23,Iowa,B10,22-11,20.24,116.1,25,95.9,30,68.8,131,-0.071,327,9.12,30,110.2,26,101.1,49,1.28,132,7,20.0,Iowa,B10,21-10,0.8832,114.4,25.0,95.9,31.0,69.9,116.0,-0.099,342.0,0.687,33.0,108.3,24.0,101.2,56.0,0.5254,152.0,7.0
Iowa St,2016,1235,1985,2020,X04,20,Iowa St.,B12,23-12,20.95,121.2,7,100.3,91,71.2,49,-0.062,318,12.05,5,110.2,28,98.1,1,2.54,92,4,18.0,Iowa St.,B12,21-11,0.8919,120.5,3.0,100.3,101.0,71.8,54.0,-0.07,326.0,0.7452,6.0,108.0,31.0,98.4,1.0,0.5192,161.0,4.0
Kansas,2016,1242,1985,2020,Y01,3,Kansas,B12,33-5,29.67,120.0,10,90.4,3,69.0,123,0.044000000000000004,75,12.61,3,111.4,8,98.8,4,3.62,66,1,1.0,Kansas,B12,30-4,0.9503,118.9,8.0,92.0,5.0,69.7,127.0,0.062,39.0,0.763,2.0,109.6,6.0,99.0,4.0,0.5782,93.0,1.0
Kentucky,2016,1246,1985,2020,W04,6,Kentucky,SEC,27-9,25.14,121.8,5,96.6,39,67.4,214,-0.046,288,8.37,44,108.6,58,100.3,19,3.19,75,4,8.0,Kentucky,SEC,26-8,0.9198,122.3,1.0,98.9,70.0,67.6,241.0,-0.035,269.0,0.6892,31.0,106.9,54.0,99.8,11.0,0.5991,67.0,4.0
MTSU,2016,1292,1985,2020,X15,246,Montana St.,BSky,14-17,-7.2,106.5,148,113.7,324,68.5,142,-0.024,240,-5.34,272,102.2,274,107.6,271,2.9,84,15,256.0,Montana St.,BSky,14-17,0.3054,104.9,157.0,112.6,325.0,69.5,138.0,-0.024,239.0,0.3785,285.0,101.5,289.0,106.0,270.0,0.5779,94.0,
Maryland,2016,1268,1985,2020,Y05,22,Maryland,B10,27-9,20.25,116.2,24,95.9,32,67.4,213,0.016,129,8.6,39,109.2,45,100.6,30,-1.86,218,5,23.0,Maryland,B10,25-8,0.8725,113.8,26.0,96.3,37.0,68.0,221.0,0.006,165.0,0.6789,39.0,107.3,49.0,100.5,27.0,0.4759,211.0,5.0
Miami FL,2016,1274,1986,2020,Y03,15,Miami FL,ACC,27-8,22.44,119.4,11,96.9,42,65.9,284,0.077,33,11.67,6,111.6,5,99.9,11,2.63,90,3,13.0,Miami FL,ACC,25-7,0.8971,117.2,12.0,97.1,44.0,66.8,281.0,0.054000000000000006,53.0,0.7335,11.0,109.5,7.0,100.3,23.0,0.5401,136.0,3.0
Michigan,2016,1276,1985,2020,W11a,50,Michigan,B10,23-13,14.15,114.6,30,100.5,92,65.8,289,0.013000000000000001,146,8.96,35,110.1,29,101.1,48,-2.15,226,11,56.0,Michigan,B10,22-12,0.7778,112.7,35.0,101.0,116.0,66.7,287.0,0.016,130.0,0.6715,46.0,107.7,39.0,101.2,59.0,0.4551,235.0,11.0
Michigan St,2016,1277,1985,2020,X02,5,Michigan St.,B10,29-6,27.97,123.4,2,95.5,26,66.5,254,-0.012,210,7.19,57,107.5,73,100.3,22,0.4,157,2,3.0,Michigan St.,B10,29-5,0.945,121.3,2.0,94.8,19.0,67.4,253.0,-0.004,184.0,0.65,60.0,105.8,79.0,100.3,20.0,0.4771,208.0,2.0
North Carolina,2016,1314,1985,2020,W01,2,North Carolina,ACC,33-7,29.82,124.4,1,94.6,21,70.5,60,-0.055,305,11.45,8,111.7,4,100.2,18,3.13,77,1,4.0,North Carolina,ACC,28-6,0.9407,119.5,4.0,94.0,16.0,72.0,48.0,-0.043,283.0,0.721,16.0,109.3,9.0,100.6,32.0,0.5742,99.0,1.0
Northern Iowa,2016,1320,1985,2020,Z11,67,Northern Iowa,MVC,23-13,11.13,109.6,94,98.5,56,62.9,346,0.013000000000000001,148,4.8,79,106.1,107,101.3,53,7.57,17,11,76.0,Northern Iowa,MVC,22-12,0.7240000000000001,105.7,135.0,97.2,45.0,62.9,346.0,0.017,127.0,0.5813,90.0,104.0,153.0,101.1,50.0,0.664,21.0,11.0
Notre Dame,2016,1323,1985,2020,W06,36,Notre Dame,ACC,24-12,16.6,120.6,9,104.0,158,64.6,324,0.054000000000000006,54,10.75,12,111.3,9,100.5,29,-1.64,210,6,39.0,Notre Dame,ACC,21-11,0.8131,117.8,10.0,103.7,172.0,65.8,316.0,0.033,95.0,0.6962,26.0,108.7,20.0,101.1,51.0,0.47200000000000003,216.0,6.0
Oklahoma,2016,1328,1985,2020,Z02,10,Oklahoma,B12,29-8,23.78,117.9,16,94.1,17,69.8,88,0.08199999999999999,29,13.05,1,111.5,6,98.5,3,2.7,87,2,7.0,Oklahoma,B12,25-7,0.9199,115.4,20.0,93.3,11.0,70.8,83.0,0.008,159.0,0.7589,3.0,109.7,5.0,99.3,6.0,0.5397,138.0,2.0
Oregon,2016,1332,1985,2020,Z01,12,Oregon,P12,31-7,22.68,119.1,13,96.4,37,68.1,167,0.040999999999999995,81,9.06,33,109.0,47,100.0,13,1.04,139,1,9.0,Oregon,P12,28-6,0.9123,119.4,5.0,97.4,50.0,68.7,184.0,0.035,92.0,0.7022,24.0,107.0,52.0,99.3,7.0,0.5152,169.0,1.0
Oregon St,2016,1333,1985,2020,Z07,64,Oregon St.,P12,19-13,11.65,110.7,77,99.1,66,67.1,229,0.043,78,9.61,24,109.8,32,100.2,17,0.46,155,7,60.0,Oregon St.,P12,19-12,0.7691,109.3,76.0,98.4,62.0,68.2,210.0,0.052000000000000005,56.0,0.7249,15.0,108.5,23.0,99.7,10.0,0.5415,134.0,7.0
Pittsburgh,2016,1338,1985,2020,W10,37,Pittsburgh,ACC,21-12,16.6,114.9,28,98.3,53,65.3,303,-0.011000000000000001,206,9.06,34,110.8,14,101.7,68,-7.02,324,10,45.0,Pittsburgh,ACC,21-11,0.8024,112.7,33.0,99.8,86.0,66.3,299.0,0.003,172.0,0.6734,44.0,108.7,19.0,102.0,95.0,0.3298,332.0,10.0
Providence,2016,1344,1985,2020,W09,44,Providence,BE,24-11,14.49,110.0,92,95.5,28,68.4,150,0.062,42,8.93,36,109.5,39,100.6,32,-3.13,259,9,46.0,Providence,BE,23-10,0.7991,107.9,93.0,95.7,28.0,69.4,143.0,0.044000000000000004,76.0,0.6563,55.0,106.8,57.0,101.0,48.0,0.4353,256.0,9.0
Purdue,2016,1345,1985,2020,X05,9,Purdue,B10,26-9,23.85,116.9,19,93.1,11,67.9,182,-0.046,286,7.43,56,109.1,46,101.7,66,-2.67,239,5,10.0,Purdue,B10,26-8,0.9078,115.3,21.0,94.5,18.0,68.3,208.0,-0.031,253.0,0.6563,56.0,107.5,44.0,101.6,77.0,0.4265,266.0,5.0
S Dakota St,2016,1355,2006,2020,Y12,80,South Dakota St.,Sum,26-8,9.57,111.4,66,101.8,117,68.3,157,0.004,168,-0.23,155,104.6,168,104.8,146,1.91,113,12,80.0,South Dakota St.,Sum,26-7,0.7209,109.1,79.0,100.5,108.0,68.9,164.0,0.015,132.0,0.4942,159.0,103.4,182.0,103.6,148.0,0.5618,106.0,12.0
SF Austin,2016,1372,1987,2020,W14,41,Stephen F. Austin,Slnd,28-6,15.62,112.2,57,96.6,38,67.3,217,0.006999999999999999,159,-5.88,286,102.7,251,108.6,321,4.79,42,14,33.0,Stephen F. Austin,Slnd,27-5,0.8378,110.4,61.0,95.7,27.0,68.3,207.0,0.025,108.0,0.3538,311.0,101.9,272.0,107.3,335.0,0.636,38.0,14.0
Seton Hall,2016,1371,1985,2020,X06,29,Seton Hall,BE,25-9,18.27,111.1,72,92.9,10,69.7,92,0.016,132,8.55,41,108.5,61,100.0,14,-2.92,247,6,26.0,Seton Hall,BE,25-8,0.8674,110.7,55.0,94.0,17.0,70.3,104.0,0.008,158.0,0.6673,49.0,106.1,68.0,99.9,14.0,0.4372,255.0,6.0
Southern Univ,2016,1380,1985,2020,Z16b,229,Southern,SWAC,22-13,-5.75,100.5,248,106.3,198,68.9,126,0.04,83,-8.52,332,99.1,340,107.6,273,3.49,70,16,226.0,Southern,SWAC,22-12,0.3528,100.0,244.0,105.4,206.0,69.9,115.0,0.054000000000000006,52.0,0.316,336.0,98.9,343.0,105.8,258.0,0.5949,70.0,16.0
St Joseph's PA,2016,1386,1985,2020,Z08,43,Saint Joseph's,A10,28-8,15.37,114.3,32,98.9,63,70.2,78,0.03,95,4.66,80,107.0,85,102.3,82,1.97,109,8,37.0,Saint Joseph's,A10,27-7,0.8159,112.9,31.0,99.2,74.0,71.3,66.0,0.034,94.0,0.5749,97.0,104.9,103.0,102.2,101.0,0.5231,155.0,8.0
Stony Brook,2016,1392,2000,2020,W13,94,Stony Brook,AE,26-7,8.13,107.3,132,99.1,67,67.2,228,0.049,63,-5.6,280,103.3,232,108.9,329,4.38,49,13,91.0,Stony Brook,AE,26-6,0.6979,105.8,131.0,98.4,61.0,67.4,252.0,0.032,99.0,0.3755,290.0,102.8,226.0,107.4,337.0,0.6381,37.0,13.0
Syracuse,2016,1393,1985,2020,X10,27,Syracuse,ACC,23-14,18.57,112.7,50,94.1,18,65.0,314,-0.027000000000000003,249,10.21,18,110.9,12,100.7,33,-0.82,180,10,41.0,Syracuse,ACC,19-13,0.8111,109.4,75.0,96.4,38.0,65.7,321.0,-0.047,290.0,0.6935,29.0,108.7,18.0,101.3,60.0,0.4948,189.0,10.0
Temple,2016,1396,1985,2020,Y10,86,Temple,Amer,21-12,8.82,107.0,139,98.1,52,65.9,283,0.095,17,6.33,67,107.8,69,101.5,61,3.7,63,10,86.0,Temple,Amer,21-11,0.703,105.1,150.0,97.5,52.0,66.9,275.0,0.113,10.0,0.632,66.0,106.0,71.0,101.1,54.0,0.5694,103.0,10.0
Texas,2016,1400,1985,2020,Z06,39,Texas,B12,20-13,16.19,113.0,49,96.8,40,65.3,306,0.022000000000000002,118,12.54,4,111.5,7,99.0,5,5.55,31,6,30.0,Texas,B12,20-12,0.8487,111.5,44.0,96.0,32.0,66.3,301.0,0.037000000000000005,86.0,0.7732,1.0,110.0,2.0,98.8,3.0,0.6083,56.0,6.0
Texas Tech,2016,1403,1985,2020,X08,54,Texas Tech,B12,19-13,13.78,113.2,46,99.4,72,66.0,273,0.027999999999999997,101,10.66,15,110.4,22,99.7,8,0.62,151,8,42.0,Texas Tech,B12,19-12,0.8096,113.5,28.0,100.1,93.0,66.7,286.0,0.036000000000000004,90.0,0.7389,8.0,108.6,21.0,99.2,5.0,0.4967,185.0,8.0
Tulsa,2016,1409,1985,2020,W11b,65,Tulsa,Amer,20-12,11.5,111.2,69,99.7,79,68.4,149,-0.003,181,5.54,76,107.0,84,101.4,60,1.46,127,11,58.0,Tulsa,Amer,20-11,0.7702,110.8,53.0,99.7,84.0,69.4,145.0,0.009000000000000001,155.0,0.6212,72.0,105.2,100.0,100.7,36.0,0.5197,160.0,11.0
UNC Asheville,2016,1421,1987,2020,Y15,131,UNC Asheville,BSth,22-12,3.44,103.6,188,100.1,89,70.1,81,-0.008,197,-4.12,248,103.4,222,107.5,264,2.64,89,15,116.0,UNC Asheville,BSth,22-11,0.6194,102.5,190.0,98.2,60.0,71.1,74.0,-0.045,286.0,0.406,257.0,102.9,216.0,106.4,295.0,0.5918,74.0,15.0
UNC Wilmington,2016,1423,1985,2020,Z13,83,UNC Wilmington,CAA,25-8,9.21,110.7,79,101.5,110,70.3,73,0.033,93,0.85,132,105.7,115,104.9,151,-3.9,271,13,74.0,UNC Wilmington,CAA,25-7,0.7290000000000001,109.4,74.0,100.4,105.0,70.7,87.0,0.040999999999999995,80.0,0.5202,135.0,104.4,135.0,103.6,149.0,0.4179,275.0,13.0
USC,2016,1425,1985,2020,W08,49,USC,P12,21-13,14.25,113.9,35,99.7,80,71.0,54,-0.027999999999999997,251,7.61,53,108.7,57,101.1,46,-1.65,211,8,49.0,USC,P12,21-12,0.7946,112.4,37.0,99.9,90.0,72.0,49.0,-0.012,206.0,0.6691,47.0,107.2,50.0,100.8,44.0,0.4609,226.0,8.0
Utah,2016,1428,1985,2020,X03,33,Utah,P12,27-9,16.79,115.6,26,98.8,60,65.3,305,0.11199999999999999,9,9.79,21,109.8,33,100.0,12,1.9,114,3,29.0,Utah,P12,26-8,0.8547,113.7,27.0,97.5,51.0,66.5,294.0,0.11,13.0,0.7038,23.0,107.9,34.0,100.1,16.0,0.519,162.0,3.0
VCU,2016,1433,1985,2020,Z10,31,VCU,A10,25-11,17.07,112.1,58,95.0,24,69.6,96,-0.07,326,3.82,87,107.3,76,103.5,111,0.95,142,10,35.0,VCU,A10,24-10,0.8259,108.8,82.0,95.0,22.0,69.9,118.0,-0.065,321.0,0.5566,105.0,105.5,87.0,103.4,142.0,0.4981,183.0,10.0
Vanderbilt,2016,1435,1985,2020,Y11a,25,Vanderbilt,SEC,19-14,18.76,113.6,40,94.9,23,67.8,184,-0.106,346,8.6,40,109.2,44,100.6,31,3.68,65,11,27.0,Vanderbilt,SEC,19-13,0.8641,112.9,32.0,96.1,34.0,68.6,192.0,-0.11,346.0,0.6947,27.0,107.9,35.0,100.4,26.0,0.6234,45.0,11.0
Villanova,2016,1437,1985,2020,Y02,1,Villanova,BE,35-5,32.01,122.8,3,90.8,5,66.0,274,0.023,114,10.74,13,110.5,19,99.7,9,2.98,83,2,5.0,Villanova,BE,29-5,0.9352,117.2,11.0,93.0,7.0,67.4,249.0,0.012,143.0,0.6873,32.0,107.7,40.0,100.5,29.0,0.59,76.0,2.0
Virginia,2016,1438,1985,2020,X01,4,Virginia,ACC,29-8,29.64,120.6,8,91.0,7,61.3,348,-0.04,278,12.67,2,112.1,2,99.5,6,4.98,38,1,2.0,Virginia,ACC,26-7,0.9482,118.3,9.0,91.9,4.0,61.4,351.0,-0.043,281.0,0.7548,4.0,109.8,4.0,99.5,9.0,0.6087,55.0,1.0
WI Green Bay,2016,1453,1985,2020,Z14,127,Green Bay,Horz,23-13,3.74,108.3,111,104.6,172,76.2,6,0.057,51,0.11,146,104.4,180,104.3,133,1.92,110,14,117.0,Green Bay,Horz,23-12,0.619,107.7,96.0,103.2,168.0,76.6,6.0,0.046,69.0,0.4962,155.0,103.3,188.0,103.4,140.0,0.5569,114.0,14.0
Weber St,2016,1451,1985,2020,W15,142,Weber St.,BSky,26-9,2.45,103.4,191,100.9,102,66.8,243,0.019,124,-5.67,282,103.3,228,109.0,333,1.16,137,15,132.0,Weber St.,BSky,26-8,0.5717,102.6,184.0,100.0,92.0,67.9,227.0,-0.003,182.0,0.3514,315.0,102.3,252.0,107.9,347.0,0.5312,147.0,15.0
West Virginia,2016,1452,1985,2020,W03,8,West Virginia,B12,26-9,24.45,115.3,27,90.9,6,69.5,104,0.003,171,11.24,9,110.9,11,99.6,7,0.72,149,3,6.0,West Virginia,B12,26-8,0.9236,114.8,23.0,92.4,6.0,70.5,93.0,0.008,157.0,0.7499,5.0,109.4,8.0,99.5,8.0,0.5318,145.0,3.0
Wichita St,2016,1455,1985,2020,Y11b,13,Wichita St.,MVC,26-9,22.53,111.3,67,88.7,1,66.0,276,-0.079,333,3.61,88,104.8,154,101.2,51,6.45,24,11,12.0,Wichita St.,MVC,24-8,0.9005,108.9,81.0,89.9,1.0,67.0,267.0,-0.08,333.0,0.5367,122.0,102.1,261.0,100.8,39.0,0.6524,26.0,11.0
Wisconsin,2016,1458,1985,2020,W07,38,Wisconsin,B10,22-13,16.55,110.1,89,93.6,13,63.3,344,-0.022000000000000002,235,9.57,25,110.3,24,100.7,36,1.24,134,7,32.0,Wisconsin,B10,20-12,0.8390000000000001,110.0,67.0,95.3,24.0,64.3,341.0,-0.031,255.0,0.7006,25.0,108.0,33.0,100.3,22.0,0.5441,131.0,7.0
Xavier,2016,1462,1985,2020,W02,14,Xavier,BE,28-6,22.52,117.1,18,94.6,22,71.9,32,0.047,68,8.16,45,108.2,64,100.0,16,1.73,116,2,15.0,Xavier,BE,27-5,0.8946,115.8,18.0,96.2,36.0,72.9,29.0,0.067,36.0,0.6729,45.0,106.5,63.0,100.0,15.0,0.5336,142.0,2.0
Yale,2016,1463,1985,2020,Z12,47,Yale,Ivy,23-7,14.33,110.4,88,96.0,34,66.0,275,0.026000000000000002,105,-0.85,169,105.5,122,106.4,209,-1.0,193,12,38.0,Yale,Ivy,22-6,0.8132,108.0,92.0,95.0,21.0,66.7,284.0,0.031,101.0,0.4691,189.0,104.1,149.0,105.2,223.0,0.5131,172.0,12.0
