rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
14,Saint Mary's,WCC,28-4,24.64,119,15,94.3,26,59.1,350,0.034,87,-0.28,147,104,178,104.3,130,-4.27,287,7,2017,St Mary's CA
15,Purdue,B10,25-7,24.22,116.9,24,92.7,16,68.7,116,-0.023,244,8.06,50,108.8,50,100.7,46,-1.94,217,4,2017,Purdue
16,Oregon,P12,29-5,23.83,117.7,19,93.9,22,66.5,238,0.036,84,6.41,67,107.8,66,101.4,66,0.69,140,3,2017,Oregon
17,Iowa St.,B12,23-10,23.11,119.6,13,96.4,43,67.9,170,-0.01,213,13.66,4,112.1,3,98.4,4,-0.28,169,5,2017,Iowa St
18,UCLA,P12,29-4,22.95,122.7,3,99.8,78,72.9,13,0.024,121,4.05,78,107.3,74,103.2,105,-4.4,290,3,2017,UCLA
19,Florida St.,ACC,25-8,22.74,116.7,25,94,24,70.5,52,0.023,126,9.69,31,110.9,18,101.2,56,-3.61,268,3,2017,Florida St
20,Arizona,P12,30-4,22.74,117.6,20,94.8,28,65.5,277,0.064,37,6.6,65,108.1,59,101.5,69,1.53,119,2,2017,Arizona
21,Michigan,B10,24-11,22.62,121.6,5,99,69,62.6,339,-0.031,255,9.68,32,109.2,41,99.5,19,-0.27,168,7,2017,Michigan
22,Cincinnati,Amer,29-5,22.32,114.2,35,91.9,11,63.5,327,0.029,102,3.56,84,106.5,80,103,99,-0.22,167,6,2017,Cincinnati
23,Wisconsin,B10,25-9,22.29,113.6,40,91.3,8,63.1,333,0,185,9.09,39,109.9,34,100.8,49,-0.96,187,8,2017,Wisconsin
24,Oklahoma St.,B12,20-12,22.1,124.8,1,102.7,133,70,64,-0.056,309,13.97,1,111.6,6,97.6,1,2.99,72,10,2017,Oklahoma St
25,Notre Dame,ACC,25-9,21.09,118.9,16,97.8,58,66.9,220,0.021,133,10.64,24,110.2,23,99.6,21,-3.97,277,5,2017,Notre Dame
26,Butler,BE,23-8,20.91,118,17,97.1,49,65.1,295,-0.001,186,10.72,22,110.6,22,99.8,28,5.3,41,4,2017,Butler
27,Creighton,BE,25-9,19.59,115.6,32,96,40,70.6,49,0.009,170,8.98,40,110.2,25,101.2,57,-1.3,205,6,2017,Creighton
28,Marquette,BE,19-12,17.57,121,7,103.4,154,69.7,77,-0.062,313,8.94,42,109.1,45,100.1,33,-1.84,214,10,2017,Marquette
29,Kansas St.,B12,20-13,17.55,112,50,94.5,27,65.9,269,-0.04,282,10.97,20,109.9,31,99,11,-4.88,300,11,2017,Kansas St
30,Wake Forest,ACC,19-13,17.28,120.9,8,103.6,160,70.2,58,-0.035,265,11.2,16,111.3,9,100.1,30,4.72,47,11,2017,Wake Forest
31,South Carolina,SEC,22-10,17.03,105.5,149,88.5,3,67.9,169,-0.004,194,8.49,47,108.7,52,100.2,35,2.4,92,7,2017,South Carolina
32,Miami FL,ACC,21-11,16.96,110.4,68,93.4,20,62.8,338,0.03,97,10.12,26,111,16,100.9,54,-4.07,282,8,2017,Miami FL
33,Minnesota,B10,24-9,16.59,109.5,81,93,18,69.1,97,0.028,107,8.15,49,108.8,51,100.6,43,-1.38,208,5,2017,Minnesota
34,Vanderbilt,SEC,19-15,16.24,112.3,48,96.1,41,65.3,284,-0.035,268,11.16,17,109.9,33,98.7,9,6.58,33,9,2017,Vanderbilt
35,Clemson,ACC,17-15,15.88,115.9,29,100,84,66,262,-0.053,299,11.52,14,111.2,12,99.7,25,2.16,99,,2017,Clemson
36,Dayton,A10,24-7,15.67,112.3,49,96.6,45,68.3,137,-0.011,217,3.38,86,105.6,100,102.2,77,2.9,73,7,2017,Dayton
37,Rhode Island,A10,24-9,15.62,110.7,64,95,32,65.9,266,-0.024,248,3.67,82,106.3,82,102.6,90,1.99,105,11,2017,Rhode Island
38,Arkansas,SEC,25-9,15.6,116.6,26,101,96,69.1,95,0.093,7,7.54,56,107.9,64,100.4,39,-1.19,203,8,2017,Arkansas
39,Northwestern,B10,23-11,15.51,111.2,58,95.7,35,64.9,300,0.021,134,7.76,53,108.6,55,100.8,50,-2.83,241,8,2017,Northwestern
40,Xavier,BE,21-13,15.32,114.8,33,99.5,74,66.9,219,0.03,98,11.06,19,110.8,19,99.7,24,5.78,38,11,2017,Xavier
"",Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,,2017,Strength of Schedule
41,TCU,B12,19-15,15.29,113.2,41,97.9,59,66.6,233,-0.028,254,12.13,11,111.2,13,99,12,-2.92,243,,2017,TCU
42,Indiana,B10,18-15,15.14,116.6,27,101.5,103,68,162,-0.085,336,9.15,38,109.6,37,100.5,42,-5.03,304,,2017,Indiana
43,Michigan St.,B10,19-14,14.98,110.6,66,95.6,34,66.5,242,-0.012,219,10.67,23,110.2,24,99.5,20,4.19,54,9,2017,Michigan St
44,Virginia Tech,ACC,22-10,14.94,117.4,21,102.5,125,68.1,157,0.061,40,8.78,44,110.2,26,101.4,64,-7.66,340,9,2017,Virginia Tech
45,Maryland,B10,24-8,14.83,113.6,39,98.8,64,66.8,222,0.064,36,7.66,54,107.9,63,100.3,37,-0.94,186,6,2017,Maryland
46,Texas Tech,B12,18-14,14.75,112.5,45,97.8,57,63.4,328,-0.082,334,7.76,52,109.1,44,101.3,61,-11.47,351,,2017,Texas Tech
47,Utah,P12,20-11,14.74,114.2,36,99.5,73,68.2,145,-0.087,339,3.49,85,105.8,89,102.4,81,-6.25,327,,2017,Utah
48,Middle Tennessee,CUSA,30-4,14.65,111.6,55,97,47,64,314,0.012,161,-1.72,183,103.9,184,105.6,187,4.12,56,12,2017,Middle Tennessee
49,Houston,Amer,21-10,14.47,114,37,99.5,75,64.7,302,-0.017,233,2.84,88,104.9,132,102.1,76,-3.01,247,,2017,Houston
50,Syracuse,ACC,18-14,14.35,115.9,30,101.5,104,66.1,261,-0.044,291,8.51,45,108.6,53,100.1,31,-3.15,254,,2017,Syracuse
51,Illinois St.,MVC,27-6,14.33,106.6,134,92.3,15,64.4,310,0.101,5,1.41,108,105,131,103.6,109,-0.35,173,,2017,Illinois St
52,VCU,A10,26-8,14.31,110,72,95.7,36,67.9,167,0.036,82,3.6,83,105.5,101,101.9,73,1.12,129,10,2017,VCU
53,Seton Hall,BE,21-11,13.95,109.8,76,95.9,38,67,214,0.071,28,9.7,30,109.9,32,100.2,36,-2.12,220,9,2017,Seton Hall
54,Alabama,SEC,19-14,13.49,105.4,152,91.9,10,64.7,301,-0.048,294,7.35,57,108,61,100.7,45,-0.98,189,,2017,Alabama
55,Nevada,MWC,28-6,13.34,114.5,34,101.2,101,69.4,87,0.059,44,0.82,125,104,176,103.2,104,-0.96,188,12,2017,Nevada
56,Providence,BE,20-12,12.9,108.1,108,95.2,33,66.1,259,0.027,108,8.2,48,109.1,43,100.9,55,-4.06,280,11,2017,Providence
57,Georgia,SEC,19-14,12.83,108.7,94,95.9,37,66.7,227,0.021,132,11.14,18,109.7,35,98.6,7,4.98,43,,2017,Georgia
58,California,P12,21-12,12.72,104.8,159,92.1,13,65.1,293,-0.001,187,5.28,71,107.3,72,102.1,75,-2.27,226,,2017,California
59,Princeton,Ivy,23-6,12.5,109.4,83,96.9,46,62.9,336,0.025,117,-1.46,175,103.4,214,104.8,145,2.5,87,12,2017,Princeton
60,UNC Wilmington,CAA,29-5,12.39,117.8,18,105.4,189,69.9,69,0.051,60,0.15,137,105,128,104.9,148,2.46,90,12,2017,UNC Wilmington
61,USC,P12,24-9,12.34,112.5,46,100.2,86,68.6,117,0.078,20,4.18,77,108,62,103.8,117,-3.09,251,11,2017,USC
62,Tennessee,SEC,16-16,12.12,109.8,77,97.7,55,69,100,-0.053,301,10.97,21,109,46,98,2,6.74,29,,2017,Tennessee
63,Vermont,AE,29-5,11.88,110.8,61,98.9,66,64.1,313,0.06,41,-4.74,270,102.7,251,107.4,292,1.85,111,13,2017,Vermont
64,East Tennessee St.,SC,27-7,11.49,108,109,96.5,44,69.8,70,0.002,182,-1.39,174,105.3,109,106.7,260,0.54,147,13,2017,ETSU
65,Oklahoma,B12,11-20,11.05,107.3,119,96.3,42,69.6,84,-0.102,344,13.94,2,112.1,2,98.1,3,1.44,123,,2017,Oklahoma
66,Texas A&M;,SEC,16-15,11.01,108.5,99,97.5,52,64.1,312,-0.042,287,7.78,51,109.2,40,101.4,67,-2.19,222,,2017,Texas A&M;
67,UCF,Amer,21-11,11,103.8,183,92.8,17,65.3,282,-0.002,189,2.06,97,104.9,135,102.8,94,-6.41,329,,2017,UCF
68,Georgetown,BE,14-18,10.95,108.6,96,97.6,54,68.3,140,-0.102,345,10.14,25,111,17,100.8,51,2.32,94,,2017,Georgetown
69,Iowa,B10,18-14,10.61,112.4,47,101.8,109,71,39,0.02,135,7.63,55,108.3,58,100.6,44,-3.29,261,,2017,Iowa
70,Illinois,B10,18-14,10.54,107.6,116,97,48,65.9,265,0.04,76,9.15,37,110,30,100.9,53,0.28,155,,2017,Illinois
71,Ohio St.,B10,17-15,10.32,111.3,57,101,94,67.6,190,-0.054,305,7.16,59,107.3,73,100.1,34,-4.07,281,,2017,Ohio St
72,Colorado,P12,19-14,10.21,112,52,101.7,108,67.4,199,-0.04,283,5.02,74,107.6,67,102.5,88,-0.62,180,,2017,Colorado
73,Texas,B12,11-22,10.16,104.1,177,94,23,67.2,210,-0.105,348,13.8,3,112.5,1,98.7,8,1.98,106,,2017,Texas
74,BYU,WCC,22-11,9.68,109.1,86,99.4,72,75.1,4,0.01,166,0.33,131,104.2,165,103.8,118,-2.2,224,,2017,BYU
75,Pittsburgh,ACC,16-17,9.54,112.8,44,103.2,150,65.1,292,0.044,74,11.45,15,111.3,11,99.8,27,0.49,150,,2017,Pittsburgh
76,UT Arlington,SB,25-8,9.48,109.9,75,100.4,89,69.7,75,0.053,56,0.17,136,104.1,171,103.9,119,6.67,30,,2017,UT Arlington
77,Mississippi,SEC,20-13,9.37,110.1,70,100.8,92,71.2,33,0.059,46,6.78,62,107.5,68,100.7,48,-0.36,174,,2017,Mississippi
78,San Diego St.,MWC,19-14,8.94,103.9,182,95,31,64.6,307,-0.101,343,1.12,119,104.6,149,103.5,108,-1.5,209,,2017,San Diego St
79,Monmouth,MAAC,27-6,8.77,108.9,89,100.1,85,72.1,22,0.08,16,-2.94,217,103.3,217,106.2,233,2.07,102,,2017,Monmouth NJ
80,Bucknell,Pat,26-8,8.72,109.1,87,100.3,88,69.4,86,0.018,143,-4.37,264,100.9,311,105.2,163,1.09,130,13,2017,Bucknell
"",Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,,2017,Strength of Schedule
81,Colorado St.,MWC,23-11,8.48,108.3,102,99.8,80,65.9,268,0.014,155,1.33,113,104.5,157,103.1,102,-1.06,194,,2017,Colorado St
82,Georgia Tech,ACC,17-15,8.37,99,269,90.6,7,67.6,193,0.046,71,9.18,35,110.6,20,101.4,65,-4.95,303,,2017,Georgia Tech
83,Auburn,SEC,18-14,8.27,111.7,54,103.4,157,73.2,10,0.045,72,7.05,60,107.4,71,100.3,38,1.87,110,,2017,Auburn
84,Davidson,A10,17-15,7.82,108.5,98,100.7,91,68.1,154,-0.031,256,4.66,76,106.9,76,102.3,79,2.31,95,,2017,Davidson
85,Belmont,OVC,22-6,7.6,110.5,67,102.9,137,67.7,186,0.067,30,-2.43,204,103.6,203,106,216,3.76,62,,2017,Belmont
86,College of Charleston,CAA,25-9,7.51,105.9,146,98.4,62,63.9,318,0.064,38,-0.1,141,105.7,94,105.8,198,0.48,151,,2017,Col Charleston
87,Penn St.,B10,15-18,7.42,104.6,165,97.2,50,70.1,62,-0.013,222,8.94,41,108.5,56,99.6,22,0.93,132,,2017,Penn St
88,New Mexico St.,WAC,28-5,7.32,110,71,102.7,134,67.3,205,0.057,48,-5.78,299,100.1,324,105.9,203,-4.5,294,14,2017,New Mexico St
89,St. Bonaventure,A10,20-12,7.28,109,88,101.7,107,68.4,134,-0.026,253,0.41,130,104.7,144,104.3,133,-4.23,286,,2017,St Bonaventure
90,Richmond,A10,20-12,7.1,108.8,91,101.7,105,68.8,108,0.022,127,2.55,92,105.3,113,102.7,93,-1.38,207,,2017,Richmond
91,Louisiana Tech,CUSA,23-10,7,107.9,111,100.9,93,68.2,147,-0.062,314,-5.5,295,100.9,310,106.4,243,-6.01,323,,2017,Louisiana Tech
92,Mississippi St.,SEC,16-16,6.85,106.4,139,99.6,76,68.6,118,-0.032,260,5.16,72,106,85,100.9,52,-6.02,324,,2017,Mississippi St
93,Connecticut,Amer,16-17,6.73,105.3,154,98.6,63,64.7,305,-0.047,293,6.14,69,107.4,70,101.3,60,5.52,40,,2017,Connecticut
94,St. John's,BE,14-19,6.52,109.1,85,102.6,127,72.9,14,-0.039,281,9.67,33,109.6,36,99.9,29,-2.42,232,,2017,St John's
95,Boise St.,MWC,19-11,6.5,109.7,78,103.2,151,69,101,0.024,122,2.44,93,105.5,103,103,101,1.64,115,,2017,Boise St
96,Loyola Chicago,MVC,18-14,6.5,108.9,90,102.4,122,65.4,280,-0.104,347,-0.2,144,103.4,213,103.6,110,-4.13,283,,2017,Loyola-Chicago
97,Valparaiso,Horz,24-8,6.4,106.7,130,100.3,87,66.6,235,0.056,49,-3.42,235,102.6,253,106.1,223,0.42,153,,2017,Valparaiso
98,Memphis,Amer,19-13,6.06,107,124,101,95,68,159,0.026,113,1.92,99,104.6,151,102.7,91,-4.53,295,,2017,Memphis
99,Akron,MAC,26-8,5.92,112.9,42,107,217,65.3,283,0.078,19,-2.2,197,103.7,196,105.9,202,-4.72,298,,2017,Akron
100,Fresno St.,MWC,20-12,5.92,104.9,158,99,68,68,166,0.007,174,1.86,100,105.2,115,103.4,107,-2.35,229,,2017,Fresno St
101,Stanford,P12,14-17,5.82,104.8,162,99,67,68.1,158,-0.008,205,8.79,43,110.1,29,101.3,59,6.61,32,,2017,Stanford
102,UNC Asheville,BSth,23-9,5.75,107.6,115,101.9,111,67.7,179,0.017,144,-4.98,275,101.8,278,106.7,262,7.01,26,,2017,UNC Asheville
103,Ohio,MAC,20-11,5.67,105.5,148,99.9,81,70,66,-0.072,326,-2.68,209,103.5,209,106.2,228,-6.66,334,,2017,Ohio
104,North Carolina St.,ACC,15-17,5.65,112.9,43,107.2,223,70,65,0.019,139,8.51,46,108.9,47,100.4,41,-5.8,320,,2017,NC State
105,San Francisco,WCC,20-12,5.45,103.4,190,97.9,60,68.4,130,0.019,137,-0.99,163,103.9,182,104.9,152,-5.47,315,,2017,San Francisco
106,Furman,SC,21-11,5.3,107.3,118,102,114,65.2,288,-0.005,197,-1.25,171,104.7,147,105.9,211,0.61,145,,2017,Furman
107,Nebraska,B10,12-19,5.16,105.1,157,99.9,83,67.7,181,0.011,163,11.71,12,111.1,14,99.4,16,7.21,22,,2017,Nebraska
108,Florida Gulf Coast,ASun,26-7,5.01,109.5,82,104.5,172,64.9,299,0.051,63,-4.99,277,103.6,202,108.6,330,2.69,81,14,2017,FL Gulf Coast
109,Oakland,Horz,24-8,4.89,103.7,186,98.8,65,71.7,26,-0.006,198,-5.16,284,102,269,107.2,280,-5.26,312,,2017,Oakland
110,Saint Peter's,MAAC,19-13,4.85,102.6,207,97.8,56,60.4,348,-0.054,304,-3.39,234,103.6,201,107,273,-1.95,218,,2017,St Peter's
111,Harvard,Ivy,18-10,4.84,106.7,131,101.9,113,66.7,231,-0.07,324,-2.45,205,103,228,105.5,179,-0.33,171,,2017,Harvard
112,Winthrop,BSth,26-6,4.63,106.5,137,101.8,110,70.7,45,0.029,100,-7.6,326,100.3,323,107.9,312,2.58,84,13,2017,Winthrop
113,Chattanooga,SC,19-12,4.59,106.7,132,102.1,117,65.1,291,-0.01,214,-0.56,155,105.7,96,106.3,235,2.63,83,,2017,Chattanooga
114,George Mason,A10,20-13,4.57,108.6,95,104,164,68.2,149,0.03,96,1.37,111,103.8,190,102.4,82,-3.19,258,,2017,George Mason
115,Cal St. Bakersfield,WAC,22-9,4.52,98,290,93.5,21,66.1,260,-0.004,195,-3.54,241,101.9,274,105.4,175,-1.04,193,,2017,CS Bakersfield
116,Towson,CAA,20-13,4.32,105.5,151,101.1,100,67.6,192,-0.009,209,-0.21,146,105.2,114,105.5,177,-1.07,195,,2017,Towson
117,Temple,Amer,16-16,4.21,108.4,100,104.2,167,66.7,229,0.015,153,3.81,80,105.2,122,101.4,62,1.27,126,,2017,Temple
118,Iona,MAAC,22-12,4,110.2,69,106.2,202,70.3,57,0.011,164,-2.57,207,103.3,216,105.9,206,0.26,157,14,2017,Iona
119,Lehigh,Pat,20-12,3.81,107.2,121,103.4,153,69.3,93,-0.034,263,-2.64,208,101.7,280,104.4,135,3.66,64,,2017,Lehigh
120,UNC Greensboro,SC,25-9,3.61,107.8,112,104.1,166,66.2,252,0.118,3,-1.61,178,104.6,150,106.2,231,-1,191,,2017,UNC Greensboro
"",Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,,2017,Strength of Schedule
121,Georgia St.,SB,20-12,3.5,104.6,164,101.1,99,67.9,171,0.015,154,-0.81,157,104.5,155,105.3,168,2.46,89,,2017,Georgia St
122,Old Dominion,CUSA,19-12,3.5,100.7,244,97.2,51,60.7,347,-0.013,223,-2.08,190,104,177,106.1,225,1.94,108,,2017,Old Dominion
123,Arkansas St.,SB,20-12,3.28,106.5,136,103.2,145,66.9,218,0.022,130,-0.88,159,103.8,191,104.7,141,3.43,66,,2017,Arkansas St
124,New Mexico,MWC,17-14,3.27,106.4,140,103.1,140,68.5,124,0.024,123,2.21,95,105.2,116,103,100,-1.03,192,,2017,New Mexico
125,George Washington,A10,19-14,3.18,108.3,106,105.1,183,65.3,285,0.067,32,2.23,94,104.5,156,102.3,78,-1.12,197,,2017,G Washington
126,Santa Clara,WCC,17-16,3.15,105.5,150,102.4,124,62.3,343,-0.014,228,0.92,122,103.9,187,102.9,98,-4.37,289,,2017,Santa Clara
127,Albany,AE,21-13,3.12,107.7,113,104.6,174,63.8,321,-0.026,251,-4.98,276,101.9,275,106.9,269,-1.87,215,,2017,SUNY Albany
128,Buffalo,MAC,17-15,3.11,105.3,155,102.2,118,71,38,-0.053,302,-0.17,142,105.3,107,105.5,180,2.76,75,,2017,Buffalo
129,Toledo,MAC,17-16,2.69,108.7,92,106,201,66.2,251,-0.071,325,-0.99,164,104.8,139,105.8,200,0.74,136,,2017,Toledo
130,Troy,SB,22-14,2.67,109.9,74,107.3,225,67.8,178,-0.037,277,-2.86,214,102.2,264,105.1,157,-6.67,335,15,2017,Troy
131,Arizona St.,P12,15-18,2.6,111.8,53,109.2,265,69.6,81,0.035,85,6.59,66,108.4,57,101.8,72,-0.81,182,,2017,Arizona St
132,William & Mary,CAA,17-14,2.37,112,51,109.7,275,70.6,47,-0.003,191,0.85,124,105.7,93,104.9,149,1.45,122,,2017,William & Mary
133,Rutgers,B10,15-18,2.28,101.5,226,99.2,71,65.9,264,0.006,177,7.03,61,107.4,69,100.4,40,-9.07,347,,2017,Rutgers
134,Missouri St.,MVC,17-16,2.28,108.3,105,106,200,65.7,271,-0.055,308,0.02,139,103.6,198,103.6,111,-6.09,325,,2017,Missouri St
135,Utah St.,MWC,15-17,2.21,106.7,129,104.5,171,66.2,254,-0.066,319,2.01,98,104.9,133,102.9,97,-0.45,176,,2017,Utah St
136,Elon,CAA,18-14,2.21,104.3,173,102.1,116,67.4,198,-0.021,238,-0.47,154,105.4,104,105.9,204,-1.54,210,,2017,Elon
137,La Salle,A10,15-15,1.94,110.6,65,108.7,250,68.3,139,0.028,106,2.57,91,105,127,102.5,86,1.42,124,,2017,La Salle
138,UC Irvine,BW,21-14,1.86,101,235,99.1,70,66.1,258,-0.007,202,-3.77,246,102.2,266,106,215,7.22,21,,2017,UC Irvine
139,Wofford,SC,16-17,1.78,110,73,108.2,243,66.5,241,-0.067,320,1.42,107,105.7,98,104.2,128,7.05,25,,2017,Wofford
140,Mercer,SC,15-17,1.74,109.7,79,107.9,237,61.4,346,-0.064,316,0.74,126,105.7,97,104.9,153,4.24,53,,2017,Mercer
141,Kent St.,MAC,22-13,1.73,104.4,169,102.7,131,68,160,0.022,129,-2.28,200,103.9,183,106.2,230,-5.54,316,14,2017,Kent
142,Louisiana Lafayette,SB,21-12,1.72,111.2,59,109.5,271,71.9,24,0.034,89,-2,188,102.8,238,104.8,146,-3.9,275,,2017,Louisiana
143,Tulsa,Amer,15-17,1.65,104.5,167,102.9,138,67.8,177,0.055,51,5.07,73,105.8,91,100.7,47,2.49,88,,2017,Tulsa
144,South Dakota,Sum,22-11,1.59,103.8,185,102.2,119,70.4,54,0.071,27,-2.91,216,105.3,111,108.2,323,-1.68,213,,2017,South Dakota
145,Fort Wayne,Sum,19-12,1.47,109.6,80,108.1,240,71,36,-0.036,272,-3.25,231,105.5,102,108.8,334,-3.94,276,,2017,Fort Wayne
146,Wyoming,MWC,18-14,1.35,103.4,189,102,115,73.2,11,0.01,167,0.3,132,104.7,146,104.4,137,-1.87,216,,2017,Wyoming
147,Northern Kentucky,Horz,24-10,1.34,106.6,133,105.3,187,67.6,191,0.082,13,-3.89,248,102.5,258,106.4,245,-2.27,227,15,2017,N Kentucky
148,Eastern Michigan,MAC,16-17,1.24,106,143,104.8,178,67.8,176,-0.078,331,0.88,123,106.7,79,105.8,194,5.61,39,,2017,Eastern Michigan
149,Southern Illinois,MVC,17-16,1.16,104.8,160,103.7,161,65,298,0.047,70,1.5,106,104.2,166,102.7,92,-2.7,238,,2017,S Illinois
150,Marshall,CUSA,20-15,1.16,110.8,63,109.6,273,77.3,3,0.027,111,-1.05,166,103.3,215,104.4,136,1.16,127,,2017,Marshall
151,Yale,Ivy,18-11,1.11,106.1,141,105,182,67.8,175,0.055,52,-1.71,182,103.8,193,105.5,178,-0.99,190,,2017,Yale
152,North Carolina Central,MEAC,25-8,1.03,102.9,201,101.9,112,66.1,256,-0.042,286,-12.28,350,97.8,348,110,349,-0.33,172,16,2017,NC Central
153,Samford,SC,19-15,0.99,108.3,107,107.3,226,68.4,131,-0.042,289,-2.05,189,103.9,180,106,217,-3.31,262,,2017,Samford
154,Rice,CUSA,22-11,0.88,107.9,110,107.1,219,72,23,-0.024,249,-5.33,292,101.4,295,106.7,261,-5.75,319,,2017,Rice
155,Evansville,MVC,16-17,0.88,104.1,178,103.2,148,66.4,244,-0.024,246,1.39,110,104.7,148,103.3,106,-2.2,223,,2017,Evansville
156,Massachusetts,A10,15-18,0.81,100.7,243,99.9,82,71.5,28,-0.042,288,1.3,114,105,130,103.7,115,-4.17,284,,2017,Massachusetts
157,Northeastern,CAA,15-16,0.63,107.1,123,106.4,208,65.7,272,-0.014,226,1.17,118,105.3,110,104.1,127,2.54,85,,2017,Northeastern
158,Jacksonville St.,OVC,20-14,0.58,105.4,153,104.8,177,63.3,329,0.029,104,-2.1,193,104,179,106.1,222,1.06,131,15,2017,Jacksonville St
159,Tennessee St.,OVC,17-13,0.54,100.3,249,99.7,77,66.6,236,-0.016,231,-2.08,191,104.5,154,106.6,253,3.86,61,,2017,Tennessee St
160,Boston College,ACC,9-23,0.42,104.3,172,103.9,163,70.8,43,-0.032,262,9.16,36,110.6,21,101.4,68,-6.13,326,,2017,Boston College
"",Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,,2017,Strength of Schedule
161,Lipscomb,ASun,20-13,0.33,107.2,120,106.9,216,73.9,6,-0.017,234,-4.29,260,103.3,219,107.6,299,1.14,128,,2017,Lipscomb
162,Western Michigan,MAC,16-16,0.3,107,125,106.7,213,67.5,196,-0.016,230,-0.34,150,105.4,105,105.8,193,2.01,103,,2017,W Michigan
163,Missouri,SEC,8-24,0.23,101.3,229,101.1,98,67.7,187,-0.16,350,6.64,64,107.9,65,101.2,58,-4.89,302,,2017,Missouri
164,Grand Canyon,WAC,22-9,0.23,101.3,230,101,97,68.6,120,0.078,18,-6.5,313,99.8,328,106.3,236,-7.55,338,,2017,Grand Canyon
165,North Dakota St.,Sum,19-11,0.16,104.5,168,104.3,168,66.4,247,0.081,15,-1.67,181,105.6,99,107.3,284,0.63,143,,2017,N Dakota St
166,Wright St.,Horz,20-12,0.11,106.5,138,106.4,206,68.7,114,0.056,50,-2.18,196,102.9,237,105,156,0.93,133,,2017,Wright St
167,Loyola Marymount,WCC,15-15,-0.02,103.1,195,103.2,142,66.9,217,0.025,116,0.52,129,105.1,125,104.6,139,-4.89,301,,2017,Loyola Marymount
168,Washington,P12,9-22,-0.04,107.7,114,107.7,231,70.6,48,-0.102,346,6.73,63,109.2,42,102.4,83,-2.37,230,,2017,Washington
169,Northern Iowa,MVC,14-16,-0.05,97.5,297,97.5,53,63.1,332,0.054,55,4.71,75,107.2,75,102.5,87,7.83,19,,2017,Northern Iowa
170,Penn,Ivy,13-15,-0.1,102.5,212,102.6,126,66.3,248,-0.053,303,-1.3,173,103.6,199,104.9,151,0.73,137,,2017,Penn
171,Texas St.,SB,20-13,-0.13,102.5,211,102.7,130,61.6,345,0.019,138,-3.51,239,102.7,247,106.2,234,-8.11,345,,2017,Texas St
172,Georgia Southern,SB,18-14,-0.24,106.5,135,106.8,214,68.4,129,0.041,75,-0.47,153,105.1,124,105.6,184,2.24,98,,2017,Georgia Southern Univ
